hhid,infl_exp,high_infl_exp,forecast_error_proxy,overreaction,media_salience,low_salience,high_media,risk_attitude,econ_outlook,interest_exp,house_price_exp,log_income,income_tercile,urban,province
201102720,4,1,0,0,3,0,1,3,1,2,4,11.0189733462059,3,0,31
201102721,4,1,0,0,1,0,0,5,2,2,4,10.0732725203259,2,0,31
201102722,4,1,0,0,2,0,1,3,3,3,3,10.5610334618531,2,0,31
201102723,4,1,0,0,0,1,0,5,2,2,4,9.30428598481871,1,0,31
201102724,4,1,0,0,2,0,1,5,2,3,3,6.67582322163485,1,0,31
201102725,3,0,-1,0,1,0,0,3,2,1,3,,1,0,31
201102726,3,0,-1,0,1,0,0,5,3,3,3,9.35088461696849,1,0,31
201102727,4,1,0,0,0,1,0,5,2,2,4,9.23999625688369,1,0,31
201102728,4,1,0,0,1,1,0,3,2,2,3,9.93793728726535,1,0,31
201102729,5,1,1,1,1,0,0,5,2,2,5,7.74109909003537,1,0,31
201102730,5,1,1,1,1,1,0,5,2,2,4,11.2292269061157,3,0,31
201102731,4,1,0,0,1,0,0,5,2,2,4,10.5050949364556,2,0,31
201102732,4,1,0,0,1,1,0,5,2,2,4,9.61052489564042,1,0,31
201102733,5,1,1,1,2,0,1,4,2,3,5,11.2569126280405,3,0,31
201102734,3,0,-1,0,1,0,0,5,2,2,4,11.3504183001091,3,0,31
201102735,2,0,-2,0,2,0,1,3,4,2,3,11.0567616225308,3,0,31
201102736,3,0,-1,0,1,0,0,5,3,3,3,7.84424071814181,1,0,31
201102737,4,1,0,0,1,1,0,5,2,2,4,10.4073187723892,2,0,31
201102738,4,1,0,0,1,1,0,5,3,9,4,10.2036291813376,2,0,31
201102739,4,1,0,0,1,0,0,5,2,2,4,10.236417809461,2,0,31
201102740,5,1,1,1,1,0,0,5,2,2,4,9.95327721703864,1,0,31
201102741,4,1,0,0,2,1,1,2,2,2,4,9.92431906211606,1,0,31
201102742,3,0,-1,0,1,1,0,5,2,2,2,9.96650929895228,1,1,32
201102743,4,1,0,0,3,1,1,5,2,2,2,10.8197982842103,2,1,32
201102744,4,1,0,0,1,0,0,5,1,2,4,0,1,1,32
201102745,5,1,1,1,0,1,0,4,2,1,4,12.5245300130057,3,1,32
201102746,5,1,1,1,1,0,0,5,2,2,4,4.79579054559674,1,1,32
201102747,4,1,0,0,2,1,1,5,2,2,4,10.8590182281479,2,1,32
201102748,4,1,0,0,2,0,1,5,4,2,3,10.4913019948302,2,1,32
201102749,5,1,1,1,3,1,1,3,2,2,5,11.1982284186668,3,1,32
201102750,4,1,0,0,3,1,1,5,1,2,3,12.1792708042206,3,1,32
201102751,4,1,0,0,1,0,0,5,2,2,2,11.2897944135779,3,1,32
201102752,5,1,1,1,3,0,1,3,3,2,5,11.446262021116,3,1,32
201102753,4,1,0,0,2,0,1,2,1,2,4,9.39274525863144,1,1,32
201102754,4,1,0,0,2,0,1,4,2,2,3,11.6544170926421,3,1,32
201102755,4,1,0,0,1,1,0,5,1,3,4,10.4004981872684,2,1,32
201102756,4,1,0,0,1,0,0,4,4,2,4,9.48804786328076,1,1,32
201102757,4,1,0,0,2,0,1,5,1,2,4,9.57199290712769,1,1,32
201102758,3,0,-1,0,1,0,0,3,2,2,4,11.4957894790235,3,1,32
201102759,4,1,0,0,2,0,1,3,1,2,4,10.9420136160929,3,1,32
201102760,5,1,1,1,1,0,0,5,2,2,4,5.70711026474888,1,1,32
201102761,5,1,1,1,2,1,1,3,2,3,4,10.8157903431324,2,1,32
201102762,4,1,0,0,2,0,1,3,2,2,3,11.9393438861209,3,1,32
201102763,4,1,0,0,1,0,0,5,3,3,4,10.1503866922047,2,1,32
201102764,4,1,0,0,2,0,1,5,2,2,3,12.02001326803,3,1,32
201102765,5,1,1,1,2,0,1,3,2,2,5,9.43356392009056,1,1,32
201102766,4,1,0,0,0,1,0,4,2,2,5,11.0349057929294,3,1,32
201102767,5,1,1,1,1,0,0,5,4,2,4,9.88842467485908,1,1,32
201102768,4,1,0,0,2,0,1,5,2,2,4,10.7421427033232,2,1,32
201102769,4,1,0,0,1,0,0,5,2,2,5,10.0647982524184,2,1,32
201102770,5,1,1,1,1,1,0,5,1,1,4,10.2853769241156,2,1,32
201102771,5,1,1,1,1,0,0,5,2,2,4,9.40104337279805,1,1,32
201102772,4,1,0,0,1,0,0,5,3,2,3,11.6711780997296,3,1,32
201102773,5,1,1,1,1,0,0,3,3,2,5,10.1266711030504,2,1,32
201102774,5,1,1,1,2,0,1,3,2,2,5,10.4143931731023,2,1,32
